sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths
258,Slovenskattbistrica,Koper,60.0,True,[70.0],[185.0]
259,Novottmesto,Novattgorica,54.0,True,[97.1],[199.2]
260,Lasko,Novattgorica,115.5,False,[104.6],[188.0]
261,Radenci,Celje,103.5,False,[78.8],[255.5]
262,Tolmin,Portoroz,145.5,False,[],[]
263,Ormoz,Ajdovscina,69.0,True,[91.0],[190.4]
264,Dravograd,Divaca,78.0,True,[88.4],[258.5]
265,Slovenjttgradec,Kovevje,120.0,False,[],[]
266,Velenje,Izola,79.5,False,[],[]
267,Slovenskattbistrica,Divaca,78.0,False,[],[]
268,Dravograd,Ljutomer,76.5,False,[55.5],[158.0]
269,Postojna,Celje,93.0,False,[61.8],[134.4]
270,Slovenjttgradec,Ljutomer,52.5,False,[],[]
271,Trbovlje,Krsko,57.0,False,[],[]
272,Slovenjttgradec,Ljutomer,78.0,True,[83.4],[174.0]
273,Ormoz,Celje,58.5,False,[19.8],[204.8]
274,Velenje,Kranj,88.5,False,[73.0],[182.0]
275,Lasko,Jesenice,58.5,True,[79.9],[202.9]
276,Postojna,Jesenice,108.0,False,[85.2],[171.1]
277,Peercelje_0,Radenci,60.0,False,[],[]
278,Lasko,Ljutomer,69.0,False,[],[]
279,Velenje,Ljubljana,67.5,True,[169.8],[196.1]
280,Ravnettnattkoroskem,Ljubljana,45.0,False,[24.6],[188.2]
281,Dravograd,Divaca,129.0,False,[114.8],[256.2]
282,Krsko,Kovevje,82.5,False,[44.0],[201.7]
283,Jesenice,Trbovlje,52.5,True,[121.5],[138.2]
284,Rogasjattslatina,Slovenskattbistrica,97.5,True,[121.5],[156.5]
285,Ravnettnattkoroskem,Rogasjattslatina,66.0,True,[72.8],[179.8]
286,Slovenjttgradec,Rogasjattslatina,61.5,False,[],[]
287,Peercelje_0,Kranj,115.5,False,[86.6],[206.8]
288,Murskattsobota,Lasko,88.5,True,[106.3],[240.3]
289,Kovevje,Slovenjttgradec,97.5,False,[],[]
290,Novattgorica,Novottmesto,99.0,False,[92.4],[128.2]
291,Peercelje_0,Gornjattradgona,51.0,False,[],[]
292,Koper,Slovenskattbistrica,45.0,True,[70.0],[185.0]
293,Ajdovscina,Kranj,105.0,False,[70.0],[127.0]
294,Trbovlje,Bled,81.0,False,[],[]
295,Trbovlje,Radenci,124.5,False,[42.0],[189.0]
296,Ravnettnattkoroskem,Divaca,109.5,False,[82.1],[244.1]
297,Slovenjttgradec,Radenci,103.5,True,[106.3],[210.3]
298,Sezana,Kovevje,114.0,False,[],[]
299,Slovenjttgradec,Slovenskattbistrica,69.0,False,[],[]
