sample_id,source,destination,sla,satisfied,min_bw_top_paths,max_bw_top_paths,unsatisfied_links
summary,,,,91.89%,,,
46,Radenci,Krsko,21.0,False,[],[],
47,Izola,Lasko,33.6,True,[41.0],[211.0],
48,Portoroz,Ptuj,19.8,True,[19.8],[184.0],
49,Divaca,Novottmesto,21.0,True,[160.0],[350.8],
50,Jesenice,Postojna,49.199999999999996,True,[82.0],[179.0],
51,Koper,Novottmesto,18.0,True,[90.0],[188.8],
52,Postojna,Radenci,38.4,True,[80.0],[182.0],
53,Novattgorica,Portoroz,30.0,True,[150.0],[191.8],
54,Kovevje,Sezana,45.6,True,[303.0],[513.0],
55,Lasko,Novottmesto,18.599999999999998,True,[31.0],[182.9],
56,Izola,Ajdovscina,47.4,True,[66.0],[193.0],
57,Ljubljana,Izola,19.8,True,[133.0],[273.0],
58,Novottmesto,Celje,36.0,True,[140.9],[246.0],
59,Tolmin,Kranj,35.4,False,[],[],
60,Senozece,Novattgorica,31.799999999999997,True,[31.8],[199.0],
61,Jesenice,Divaca,20.4,True,[22.1],[186.0],
62,Gornjattradgona,Slovenskattbistrica,36.0,True,[180.0],[307.0],
63,Celje,Krsko,42.6,True,[183.0],[281.0],
64,Celje,Ormoz,20.4,False,[],[],
65,Trbovlje,Rogasjattslatina,42.6,True,[182.0],[259.0],
66,Postojna,Slovenjttgradec,25.2,False,[14.7],[170.7],Dravograd-Slovenjttgradec(14.7)
67,Gornjattradgona,Ljutomer,47.4,True,[82.0],[165.0],
68,Velenje,Kovevje,48.6,True,[314.0],[327.0],
69,Murskattsobota,Ptuj,55.8,False,[40.0],[198.0],Murskattsobota-Radenci(40.0); Radenci-Gornjattradgona(52.0)
70,Tolmin,Kranj,18.0,False,[],[],
71,Portoroz,Velenje,32.4,False,[],[],
72,Bled,Ajdovscina,48.0,False,[],[],
73,Izola,Radenci,44.4,True,[82.0],[195.0],
74,Tolmin,Divaca,53.4,False,[35.6],[90.0],Ajdovscina-Divaca(35.6)
75,Krsko,Radenci,55.199999999999996,False,[],[],
76,Velenje,Izola,18.0,False,[],[],
77,Senozece,Ljubljana,27.0,True,[43.0],[121.0],
78,Portoroz,Ravnettnattkoroskem,24.599999999999998,False,[],[],
79,Velenje,Radenci,31.2,True,[139.0],[278.2],
80,Velenje,Novottmesto,44.4,True,[238.8],[409.0],
81,Velenje,Divaca,53.4,False,[],[],
82,Peercelje_0,Bled,31.2,True,[109.0],[315.0],
83,Tolmin,Izola,28.2,False,[],[],
84,Jesenice,Senozece,36.6,True,[183.0],[351.9],
85,Peercelje_0,Novottmesto,32.4,False,[],[],
86,Rogasjattslatina,Dravograd,38.4,True,[85.7],[159.7],
87,Slovenskattbistrica,Slovenjttgradec,58.199999999999996,False,[38.0],[96.0],Velenje-Slovenjttgradec(38.0)
88,Ljutomer,Lasko,26.4,True,[216.5],[298.5],
89,Peercelje_0,Kovevje,36.0,False,[],[],
90,Sezana,Jesenice,45.0,True,[184.0],[301.0],
91,Velenje,Ljubljana,56.4,True,[160.0],[160.4],
92,Divaca,Murskattsobota,21.0,True,[119.0],[361.0],
93,Lasko,Izola,27.0,True,[122.0],[384.1],
94,Lasko,Ljutomer,33.6,False,[],[],
95,Celje,Slovenjttgradec,57.599999999999994,False,[],[],
96,Peercelje_0,Slovenjttgradec,27.599999999999998,True,[54.4],[236.0],
97,Novattgorica,Gornjattradgona,28.2,False,[],[],
98,Postojna,Jesenice,18.0,False,[],[],
99,Velenje,Ravnettnattkoroskem,20.4,True,[118.5],[140.0],
100,Velenje,Sezana,54.0,True,[128.0],[258.0],
101,Jesenice,Ajdovscina,18.0,True,[90.0],[243.6],
102,Tolmin,Divaca,48.6,False,[],[],
103,Kovevje,Radenci,47.4,True,[177.0],[272.4],
104,Sezana,Kamnik,41.4,True,[84.0],[199.0],
105,Ormoz,Kovevje,33.6,True,[40.0],[184.0],
106,Ljubljana,Ajdovscina,18.0,True,[157.0],[260.0],
107,Radenci,Peercelje_0,28.2,False,[11.7],[191.0],Slovenskattbistrica-Celje(11.7)
108,Ptuj,Novattgorica,31.799999999999997,True,[105.0],[200.0],
109,Postojna,Ajdovscina,19.2,True,[34.0],[198.0],
110,Tolmin,Postojna,29.4,True,[53.0],[135.6],
111,Bled,Dravograd,30.599999999999998,True,[93.1],[195.0],
112,Portoroz,Senozece,46.8,True,[234.0],[319.0],
113,Novattgorica,Slovenjttgradec,55.199999999999996,True,[64.4],[226.8],
114,Divaca,Ptuj,51.6,True,[315.6],[462.0],
115,Ajdovscina,Krsko,30.0,True,[152.0],[250.0],
116,Izola,Kovevje,47.4,True,[111.0],[215.0],
117,Izola,Bled,54.6,True,[59.0],[91.0],
118,Novattgorica,Radenci,18.0,False,[],[],
119,Ajdovscina,Gornjattradgona,52.8,True,[238.5],[413.4],
120,Tolmin,Ormoz,30.599999999999998,True,[193.0],[300.0],
121,Bled,Lasko,28.2,True,[131.6],[188.0],
122,Kranj,Velenje,30.599999999999998,True,[49.5],[113.5],
123,Trbovlje,Celje,36.0,True,[144.3],[181.0],
124,Slovenjttgradec,Portoroz,50.4,True,[168.0],[284.0],
125,Lasko,Rogasjattslatina,37.199999999999996,True,[78.5],[159.7],
126,Slovenskattbistrica,Portoroz,20.4,False,[],[],
127,Ravnettnattkoroskem,Gornjattradgona,25.8,False,[],[],
128,Novattgorica,Celje,43.8,True,[80.0],[188.0],
129,Lasko,Ravnettnattkoroskem,57.0,True,[85.8],[155.0],
130,Velenje,Murskattsobota,22.8,False,[],[],
131,Divaca,Maribor,44.4,True,[122.7],[193.3],
132,Radenci,Slovenjttgradec,44.4,False,[],[],
133,Bled,Izola,31.2,True,[167.0],[245.0],
134,Peercelje_0,Velenje,24.599999999999998,True,[273.0],[379.0],
135,Murskattsobota,Koper,19.2,True,[96.0],[276.4],
136,Trbovlje,Izola,18.599999999999998,False,[],[],
137,Peercelje_0,Kovevje,55.8,False,[],[],
138,Postojna,Gornjattradgona,46.199999999999996,True,[331.0],[462.0],
139,Kamnik,Ormoz,20.4,False,[],[],
140,Slovenskattbistrica,Izola,19.8,False,[],[],
141,Krsko,Izola,24.599999999999998,True,[123.0],[343.0],
142,Kranj,Novottmesto,18.599999999999998,True,[149.7],[243.0],
143,Sezana,Novottmesto,18.0,False,[],[],
144,Divaca,Kovevje,33.6,True,[87.0],[147.0],
145,Slovenskattbistrica,Murskattsobota,25.2,False,[],[],
146,Dravograd,Postojna,53.4,True,[173.7],[200.0],
147,Jesenice,Gornjattradgona,39.6,True,[91.6],[216.1],
148,Divaca,Velenje,33.6,True,[99.0],[238.0],
149,Ajdovscina,Koper,46.199999999999996,True,[231.0],[292.0],
150,Senozece,Kamnik,42.6,True,[167.4],[248.0],
151,Kamnik,Murskattsobota,23.4,True,[130.0],[184.0],
152,Ajdovscina,Ljutomer,22.2,True,[65.0],[224.0],
153,Jesenice,Lasko,19.8,True,[66.0],[141.5],
154,Postojna,Tolmin,60.0,True,[90.0],[161.0],
155,Ptuj,Radenci,30.599999999999998,True,[153.0],[458.0],
156,Ljubljana,Ormoz,39.0,True,[95.0],[183.0],
157,Maribor,Celje,49.199999999999996,True,[196.0],[228.7],
158,Postojna,Radenci,18.0,True,[101.5],[185.0],
159,Murskattsobota,Ajdovscina,49.8,True,[249.0],[388.1],
160,Ravnettnattkoroskem,Ljutomer,22.8,False,[],[],
161,Ptuj,Ajdovscina,22.2,True,[76.0],[198.0],
162,Senozece,Izola,42.0,True,[125.0],[163.0],
163,Divaca,Radenci,36.0,True,[189.0],[347.6],
164,Ptuj,Divaca,25.8,True,[135.0],[272.0],
165,Portoroz,Kamnik,18.599999999999998,False,[],[],
166,Slovenjttgradec,Radenci,49.199999999999996,False,[],[],
167,Jesenice,Radenci,24.0,True,[71.2],[200.0],
168,Ormoz,Slovenskattbistrica,41.4,True,[69.0],[161.0],
169,Velenje,Ptuj,57.599999999999994,True,[288.0],[322.0],
170,Senozece,Koper,37.199999999999996,True,[53.0],[165.0],
171,Slovenskattbistrica,Lasko,18.599999999999998,False,[],[],
172,Kovevje,Jesenice,41.4,True,[131.9],[283.5],
173,Radenci,Rogasjattslatina,25.8,True,[129.0],[226.0],
174,Ptuj,Slovenjttgradec,46.199999999999996,True,[192.0],[331.0],
175,Rogasjattslatina,Dravograd,43.8,True,[307.7],[478.0],
176,Ravnettnattkoroskem,Ljutomer,25.2,False,[],[],
177,Postojna,Peercelje_0,46.199999999999996,False,[],[],
178,Maribor,Ravnettnattkoroskem,51.6,False,[],[],
179,Ajdovscina,Bled,40.8,False,[],[],
180,Ljutomer,Postojna,29.4,True,[187.0],[368.0],
181,Tolmin,Peercelje_0,32.4,False,[18.4],[215.4],Kamnik-Celje(18.4)
182,Ravnettnattkoroskem,Trbovlje,54.6,False,[],[],
183,Postojna,Ormoz,57.0,True,[87.0],[193.0],
184,Ljubljana,Velenje,27.599999999999998,True,[138.0],[247.8],
185,Slovenskattbistrica,Divaca,43.8,False,[],[],
186,Sezana,Maribor,25.8,False,[],[],
187,Velenje,Postojna,31.2,True,[119.0],[218.6],
188,Ljubljana,Senozece,24.0,True,[156.0],[245.0],
189,Koper,Sezana,19.8,True,[35.0],[90.0],
190,Bled,Rogasjattslatina,52.8,False,[39.6],[315.0],Kranj-Ljubljana(39.6)
191,Novattgorica,Ravnettnattkoroskem,57.0,False,[],[],
192,Bled,Kovevje,25.2,True,[88.0],[235.0],
193,Ljutomer,Dravograd,23.4,True,[205.3],[429.1],
194,Ravnettnattkoroskem,Ormoz,25.2,True,[27.3],[190.0],
195,Rogasjattslatina,Radenci,44.4,True,[67.0],[199.0],
196,Ajdovscina,Rogasjattslatina,30.0,True,[100.0],[192.0],
197,Slovenjttgradec,Kamnik,32.4,True,[54.0],[89.3],
198,Portoroz,Velenje,25.8,True,[142.4],[356.2],
199,Ravnettnattkoroskem,Murskattsobota,45.0,False,[],[],
200,Novattgorica,Senozece,20.4,True,[108.7],[179.0],
201,Maribor,Radenci,45.0,True,[180.0],[323.0],
202,Sezana,Novottmesto,53.4,False,[],[],
203,Velenje,Trbovlje,18.599999999999998,True,[93.0],[322.4],
204,Ajdovscina,Gornjattradgona,18.0,True,[30.0],[186.0],
